id;request_id;timestamp;client;currency;period
1;surge;2024-06-27T17:02:45;anti;EUR;3287
2;worriedly;2024-06-27T15:22:24;brr;EUR;7829
3;pruner unfolded;2024-06-28T07:08:04;accomplished over;EUR;4320
4;fiercely hourly past;2024-06-28T08:39:41;quirky yuck that;EUR;14667
5;nor fooey;2024-06-27T19:18:00;by;EUR;23972
6;demobilise veldt um;2024-06-27T22:32:05;foundation hence;EUR;22663
7;impoverish;2024-06-27T18:30:50;overstay playful savannah;EUR;18070
8;bravely throughout;2024-06-27T16:05:30;nearly back-up savings;EUR;3416
9;regard;2024-06-27T15:44:15;ugh very nag;EUR;26919
10;gah;2024-06-27T20:33:35;wharf obnoxiously;EUR;10278
